"","Sensitivity","Se 95% CI, Lower limit","Se 95% CI, Upper limit","Specificity","Spec 95% CI, Lower limit","Spec 95% CI, Upper limit","Std Dev Study","Corr study","N_study","Mean posLR","Median posLR","posLR 95% CI, Lower limit","posLR 95% CI, Upper limit","Mean negLR","Median negLR","negLR 95% CI, Lower limit","negLR 95% CI, Upper limit","Mean DOR","Median DOR","DOR 95% CI, Lower limit","DOR 95% CI, Upper limit","AUC","abs_diff","protein","cat","Wald_Pval","adj.Pval"
"326",0.599535414944926,0.4802014823423,0.708124983167481,0.790477841861925,0.641596980392167,0.888282256565365,1.07110502663626,-0.949091704278954,11,3.09,2.86,1.4,6.13,0.521,0.508,0.335,0.784,6.71,5.66,1.79,17.8,73,0.190942426916999,"IGHV2-5","Not significant",1.10309131532424e-11,8.30311369906854e-11
"327",0.7549298439719,0.381809760032736,0.9388906635301,0.536464287787039,0.278444899135884,0.776332734008094,0.730854306238845,-1,3,1.78,1.61,0.582,3.99,0.602,0.461,0.0866,1.93,7.89,3.57,0.301,42.1,66,0.218465556184861,"TXNDC5","Not significant",0.119662805804315,0.123346692607208
"328",0.579561129159723,0.519904939434548,0.636980440793901,0.783360576945307,0.59956368875865,0.89725317041406,1.04408421369437,-1,8,2.91,2.67,1.39,5.82,0.551,0.539,0.427,0.744,5.64,4.98,1.88,13.2,60,0.203799447785584,"CAP1","<70%",3.58341554412013e-05,7.61377788477165e-05
"329",0.898296644224269,0.67983852724877,0.973502506792092,0.788448811206586,0.511154558548822,0.929992577869737,0.994038884565507,1,4,4.76,4.18,1.95,10.9,0.151,0.132,0.0429,0.363,38.1,32.9,11.3,95.4,91,0.109847833017683,"PTPRS","90+%",0.0112362097069958,0.0137931221561225
"330",0.876657291256018,0.729295871724516,0.949369588502369,0.548844056246867,0.336420725829288,0.744841853561236,0.298323290073131,-1,3,2.04,1.93,1.23,3.5,0.258,0.228,0.0828,0.607,11.3,8.65,2.09,35.9,78,0.327813235009151,"CCL18","Not significant",0.00019654724396617,0.000355395482106427
"331",0.716508270269843,0.546540807971349,0.841270263545421,0.911476696237864,0.556336076733,0.988310375746001,2.23689560929328,0.128861936841738,6,13.6,7.99,1.61,59.7,0.338,0.323,0.178,0.58,47.8,26,3.01,226,83,0.194968425968022,"PEBP1","80-89%",0.00749786844390418,0.00939410356003995
"332",0.623076923076923,0.53691126015296,0.702105353840033,0.887668718699113,0.283570775877978,0.993701405112018,2.11348682887904,NA,3,16.4,5.52,0.861,99,0.532,0.438,0.322,1.35,42.8,13,0.637,267,NA,0.26459179562219,"MYL1","Not significant",0.00846172231765572,0.0105608385224212
"333",0.68889805585785,0.466544313561347,0.848639271673494,0.713201992083588,0.508116119390905,0.856866663617194,0.854060186774177,-0.897143221280725,6,2.63,2.39,1.03,5.62,0.474,0.439,0.186,0.969,7.82,5.51,1.07,28.4,76,0.0243039362257373,"PDIA6","Not significant",5.56570989718339e-05,0.000114014858864242
"334",0.795990121723216,0.650008565644939,0.891268080618264,0.650688967178444,0.28413576777713,0.897355116404935,1.56784920766005,1,5,2.69,2.27,1.22,6.64,0.338,0.33,0.227,0.498,8.37,7.27,2.57,20.5,81,0.145301154544772,"CAPN1","Not significant",2.25551716695385e-06,6.10057707273589e-06
"335",0.680776566722305,0.59649212384854,0.754695809360048,0.840649201973305,0.667616130018926,0.932686604876183,1.00439414498128,-0.736025056883916,7,4.77,4.26,1.93,10.5,0.391,0.382,0.276,0.555,13.4,11.3,3.57,35.5,76,0.159872635251,"NRP1","70-79%",4.56334848419567e-10,2.56127825326821e-09
